Mode,Time(s),Value
ohm2W,120.2802963257,33631.7299
ohm2W,120.4803390503,33629.8137
ohm2W,120.6804656982,33628.1071
ohm2W,120.8803863525,33626.6400
ohm2W,121.0804138184,33625.0231
ohm2W,121.2871093750,33623.7357
ohm2W,121.4869995117,33622.3584
ohm2W,121.6879272461,33618.8254
ohm2W,121.8878402710,33617.1786
ohm2W,122.0878448486,33615.4720
ohm2W,122.2999496460,33613.5557
ohm2W,122.4878997803,33611.9988
ohm2W,122.6879119873,33610.1724
ohm2W,122.8879470825,33608.9149
ohm2W,123.0879745483,33607.8670
ohm2W,123.2901916504,33606.9987
ohm2W,123.4902114868,33604.7830
ohm2W,123.6902389526,33602.5375
ohm2W,123.8905029297,33601.3099
ohm2W,124.0908355713,33600.2320
ohm2W,124.2908782959,33599.8128
ohm2W,124.4909362793,33600.3218
ohm2W,124.6909713745,33601.0105
ohm2W,124.8909912109,33602.6273
ohm2W,125.0958251953,33605.2322
ohm2W,125.2958984375,33607.2681
ohm2W,125.5001068115,33609.9030
ohm2W,125.7001190186,33613.4060
ohm2W,125.9002838135,33616.2205
ohm2W,126.1002883911,33619.5140
ohm2W,126.3002014160,33622.9572
ohm2W,126.5101242065,33625.5621
ohm2W,126.7101287842,33628.2867
ohm2W,126.9102783203,33632.0892
ohm2W,127.1103057861,33635.3228
ohm2W,127.3102111816,33638.2870
ohm2W,127.5201339722,33641.8500
ohm2W,127.7201461792,33643.7063
ohm2W,127.9204635620,33644.4548
ohm2W,128.1241455078,33646.1016
ohm2W,128.3240966797,33648.4969
ohm2W,128.5242462158,33651.8203
ohm2W,128.7242584229,33655.1138
ohm2W,128.9242858887,33657.2995
ohm2W,129.1243133545,33658.2576
ohm2W,129.3242645264,33659.0660
ohm2W,129.5242614746,33659.9642
ohm2W,129.7242736816,33661.4014
ohm2W,129.9243316650,33662.9883
ohm2W,130.1243286133,33664.6650
ohm2W,130.3244781494,33666.5812
ohm2W,130.5243835449,33668.0483
ohm2W,130.7243804932,33668.6771
ohm2W,130.9244537354,33668.5872
ohm2W,131.1244659424,33669.0364
ohm2W,131.3245697021,33670.6532
ohm2W,131.5247192383,33672.2400
ohm2W,131.7399597168,33673.3179
ohm2W,131.9279174805,33674.4257
ohm2W,132.1280364990,33675.9228
ohm2W,132.3279876709,33677.3899
ohm2W,132.5279846191,33678.7372
ohm2W,132.7281341553,33679.8450
ohm2W,132.9281616211,33681.0427
ohm2W,133.1280670166,33682.4799
ohm2W,133.3282012939,33684.1565
ohm2W,133.5281372070,33685.2344
ohm2W,133.7281646729,33685.5039
ohm2W,133.9300994873,33685.8632
ohm2W,134.1301116943,33686.1327
ohm2W,134.3327331543,33686.5219
ohm2W,134.5326538086,33687.0908
ohm2W,134.7326812744,33687.7495
ohm2W,134.9400787354,33688.5878
ohm2W,135.1401062012,33689.0669
ohm2W,135.3401489258,33688.7974
ohm2W,135.5402832031,33688.4680
ohm2W,135.7401885986,33688.3183
ohm2W,135.9402313232,33688.0189
ohm2W,136.1403808594,33687.9291
ohm2W,136.3403015137,33687.7794
ohm2W,136.5403289795,33687.8692
ohm2W,136.7404022217,33688.0489
ohm2W,136.9404144287,33688.2884
ohm2W,137.1434783936,33689.1567
ohm2W,137.3432159424,33690.4741
ohm2W,137.5432434082,33692.0310
ohm2W,137.7434082031,33693.2287
ohm2W,137.9433288574,33694.0969
ohm2W,138.1499481201,33694.8455
ohm2W,138.3435211182,33696.5521
ohm2W,138.5434417725,33700.2049
ohm2W,138.7434692383,33701.5523
ohm2W,138.9434967041,33703.7379
ohm2W,139.1501159668,33705.8637
ohm2W,139.3501434326,33707.2410
ohm2W,139.5501861572,33708.6782
ohm2W,139.7504730225,33710.8339
ohm2W,139.9505157471,33713.6484
ohm2W,140.1506500244,33717.4509
ohm2W,140.3506927490,33720.9241
ohm2W,140.5507202148,33723.1397
ohm2W,140.7507629395,33724.5469
ohm2W,140.9506988525,33724.9062
ohm2W,141.1528472900,33724.7266
ohm2W,141.3527832031,33724.5170
ohm2W,141.5527954102,33724.6367
ohm2W,141.7529296875,33724.7266
